simID	f0	f1	f2	f3	S_m	thetapi_m	thetaw_m	thetah_m	hprime_m	tajimasd_m	numSing_m	hapdiv_m	rsq_m	D_m	Dprime_m	div_m	S_sd	thetapi_sd	thetaw_sd	thetah_sd	hprime_sd	tajimasd_sd	numSing_sd	hapdiv_sd	rsq_sd	D_sd	Dprime_sd	div_sd
sim197	0.5	0.3	0.0	0.2	1365.84	0.02844	0.07886	0.01211	0.34254	-1.87799	0.0	0.74543	0.0191	0.00121	-0.79167	0.22203	195.65739	0.01189	0.0113	0.00827	0.12902	0.3994	0.0	0.01614	0.00698	0.00125	0.10985	0.01464
sim198	0.7	0.05	0.2	0.05	1141.62	0.02561	0.06592	0.0114	0.35864	-1.77522	0.0	0.73968	0.02244	0.00139	-0.77677	0.23888	208.15878	0.00869	0.01202	0.00675	0.13992	0.38837	0.0	0.01413	0.00924	0.0013	0.11026	0.01296
sim199	0.4	0.35	0.0	0.25	1212.94	0.02046	0.07003	0.00873	0.27831	-2.06919	0.0	0.74568	0.0149	0.00071	-0.8457	0.21644	173.41996	0.00781	0.01001	0.00662	0.10336	0.31578	0.0	0.01404	0.00446	0.00084	0.09149	0.01126
sim200	0.15	0.4	0.0	0.45	673.14	0.00858	0.03887	0.00298	0.23967	-2.26757	0.0	0.74601	0.01224	0.00036	-0.87818	0.18029	113.41878	0.00281	0.00655	0.0021	0.0672	0.21615	0.0	0.01651	0.00252	0.00038	0.06046	0.00846
sim1	0.05	0.55	0.35	0.05	615.75	0.01324	0.03555	0.0061	0.33145	-1.80608	0.0	0.73376	0.02251	0.00139	-0.77288	0.21076	131.15588	0.00406	0.00757	0.00339	0.10507	0.36283	0.0	0.01734	0.00804	0.00165	0.12237	0.00959
sim2	0.6	0.2	0.05	0.15	1346.91	0.03087	0.07777	0.0149	0.34365	-1.77898	0.0	0.74572	0.02182	0.00155	-0.77462	0.22672	229.93513	0.01635	0.01328	0.01066	0.16776	0.49317	0.0	0.01739	0.0146	0.00222	0.13614	0.02138
sim3	0.75	0.05	0.15	0.05	1323.44	0.0317	0.07642	0.01548	0.35323	-1.70397	0.0	0.74085	0.02366	0.00162	-0.74994	0.24189	252.99077	0.01026	0.01461	0.0082	0.1369	0.37891	0.0	0.01452	0.0088	0.00148	0.11389	0.01522
sim4	0.75	0.05	0.05	0.15	1590.52	0.03892	0.09184	0.01805	0.37695	-1.7001	0.0	0.74555	0.0224	0.00141	-0.76503	0.22629	256.62497	0.01538	0.01482	0.01107	0.16289	0.42289	0.0	0.01556	0.00881	0.00133	0.11472	0.02145
sim5	0.55	0.3	0.1	0.05	1252.46	0.03418	0.07232	0.01692	0.39543	-1.53135	0.0	0.74114	0.02771	0.00208	-0.7251	0.23333	225.06822	0.0109	0.013	0.00974	0.13749	0.45007	0.0	0.01482	0.01204	0.00199	0.12023	0.01741
sim6	0.35	0.1	0.25	0.3	621.45	0.00858	0.03588	0.00305	0.25577	-2.2166	0.0	0.7412	0.01372	0.00043	-0.86274	0.18392	96.56812	0.0026	0.00558	0.00179	0.07148	0.19541	0.0	0.01637	0.00282	0.00038	0.05497	0.00888
sim7	0.35	0.2	0.05	0.4	750.31	0.00987	0.04332	0.00327	0.2522	-2.25997	0.0	0.74399	0.01262	0.00038	-0.87804	0.19139	104.35213	0.00356	0.00603	0.00285	0.06483	0.21705	0.0	0.01618	0.00265	0.00055	0.06625	0.00863
sim9	0.3	0.6	0.0	0.1	1223.27	0.03505	0.07063	0.01574	0.45174	-1.47742	0.0	0.74037	0.02926	0.00188	-0.73305	0.22275	197.21771	0.01262	0.01139	0.01118	0.16526	0.46515	0.0	0.01578	0.01172	0.00195	0.10165	0.01863
sim10	0.25	0.7	0.0	0.05	1154.06	0.03994	0.06664	0.01817	0.54026	-1.1621	0.0	0.74026	0.03861	0.00288	-0.6681	0.22389	192.67321	0.01202	0.01112	0.00997	0.19647	0.48247	0.0	0.01517	0.0134	0.00231	0.12506	0.01558
sim11	0.7	0.1	0.05	0.15	1526.67	0.03535	0.08815	0.0152	0.37772	-1.76188	0.0	0.7473	0.02074	0.00131	-0.77831	0.22962	255.71161	0.01274	0.01476	0.00876	0.14559	0.37545	0.0	0.01548	0.00677	0.00105	0.10632	0.01935
sim12	0.5	0.4	0.0	0.1	1460.85	0.04266	0.08435	0.01909	0.462	-1.45626	0.0	0.7435	0.02947	0.00199	-0.72839	0.22385	235.35687	0.01452	0.01359	0.0126	0.16808	0.40606	0.0	0.01576	0.01096	0.00241	0.12896	0.02017
sim14	0.85	0.0	0.1	0.05	1680.23	0.0463	0.09702	0.02193	0.41366	-1.53545	0.0	0.74325	0.02744	0.00201	-0.71983	0.23639	303.66418	0.0146	0.01753	0.01062	0.14843	0.33838	0.0	0.01696	0.00987	0.00159	0.1148	0.02099
